,question,contexts,ground_truth,evolution_type,metadata,episode_done
0,What is the purpose of implementing a use-case based supplier risk assessment framework in relation to content provenance standards?,"[""\\begin{center}\n\\begin{tabular}{|c|c|c|}\n\\hline\nGV-6.1-005 & \\begin{tabular}{l}\nImplement a use-cased based supplier risk assessment framework to evaluate and \\\\\nmonitor third-party entities' performance and adherence to content provenance \\\\\nstandards and technologies to detect anomalies and unauthorized changes; \\\\\nservices acquisition and value chain risk management; and legal compliance. \\\\\n\\end{tabular} & \\begin{tabular}{l}\nData Privacy; Information \\\\\nIntegrity; Information Security; \\\\\nIntellectual Property; Value Chain \\\\\nand Component Integration \\\\\n\\end{tabular} \\\\\n\\hline\nGV-6.1-006 & \\begin{tabular}{l}\nInclude clauses in contracts which allow an organization to evaluate third-party \\\\\nGAI processes and standards. \\\\\n\\end{tabular} & Information Integrity \\\\\n\\hline\nGV-6.1-007 & \\begin{tabular}{l}\nInventory all third-party entities with access to organizational content and \\\\\nestablish approved GAI technology and service provider lists. \\\\\n\\end{tabular} & \\begin{tabular}{l}\nValue Chain and Component \\\\\nIntegration \\\\\n\\end{tabular} \\\\\n\\hline\nGV-6.1-008 & \\begin{tabular}{l}\nMaintain records of changes to content made by third parties to promote content \\\\\nprovenance, including sources, timestamps, metadata. \\\\\n\\end{tabular} & \\begin{tabular}{l}\nInformation Integrity; Value Chain \\\\\nand Component Integration; \\\\\nIntellectual Property \\\\\n\\end{tabular} \\\\\n\\hline\nGV-6.1-009 & \\begin{tabular}{l}\nUpdate and integrate due diligence processes for GAI acquisition and \\\\\nprocurement vendor assessments to include intellectual property, data privacy, \\\\\nsecurity, and other risks. For example, update processes to: Address solutions that \\\\\nmay rely on embedded GAI technologies; Address ongoing monitoring, \\\\\nassessments, and alerting, dynamic risk assessments, and real-time reporting \\\\\ntools for monitoring third-party GAI risks; Consider policy adjustments across GAI \\\\\nmodeling libraries, tools and APIs, fine-tuned models, and embedded tools; \\\\""]",The purpose of implementing a use-case based supplier risk assessment framework is to evaluate and monitor third-party entities' performance and adherence to content provenance standards and technologies to detect anomalies and unauthorized changes.,simple,[{'source': 'data/nist_ai.tex'}],True
1,What actions are suggested to address the risks of bias and homogenization in AI-generated content?,"['Al Actor Tasks: Al Impact Assessment, Domain Experts, Operation and Monitoring, TEVV\n\nMEASURE 3.3: Feedback processes for end users and impacted communities to report problems and appeal system outcomes are established and integrated into Al system evaluation metrics.\n\n\\begin{center}\n\\begin{tabular}{|l|l|l|}\n\\hline\nAction ID & Suggested Action & GAI Risks \\\\\n\\hline\nMS-3.3-001 & \\begin{tabular}{l}\nConduct impact assessments on how Al-generated content might affect \\\\\ndifferent social, economic, and cultural groups. \\\\\n\\end{tabular} & Harmful Bias and Homogenization \\\\\n\\hline\nMS-3.3-002 & \\begin{tabular}{l}\nConduct studies to understand how end users perceive and interact with GAI \\\\\ncontent and accompanying content provenance within context of use. Assess \\\\\nwhether the content aligns with their expectations and how they may act upon \\\\\nthe information presented. \\\\\n\\end{tabular} & \\begin{tabular}{l}\nHuman-Al Configuration; \\\\\nInformation Integrity \\\\\n\\end{tabular} \\\\\n\\hline\nMS-3.3-003 & \\begin{tabular}{l}\nEvaluate potential biases and stereotypes that could emerge from the Al- \\\\\ngenerated content using appropriate methodologies including computational \\\\\ntesting methods as well as evaluating structured feedback input. \\\\\n\\end{tabular} & Harmful Bias and Homogenization \\\\\n\\hline\n\\end{tabular}\n\\end{center}']","The suggested actions to address the risks of bias and homogenization in AI-generated content include: 1. Conducting impact assessments on how AI-generated content might affect different social, economic, and cultural groups (Action ID: MS-3.3-001). 2. Evaluating potential biases and stereotypes that could emerge from the AI-generated content using appropriate methodologies including computational testing methods as well as evaluating structured feedback input (Action ID: MS-3.3-003).",simple,[{'source': 'data/nist_ai.tex'}],True
2,How are AI systems resourced according to organizational risk priorities?,"[""Al Actor Tasks: Governance and Oversight, Operation and Monitoring\n\nGOVERN 1.6: Mechanisms are in place to inventory AI systems and are resourced according to organizational risk priorities.\n\n\\begin{center}\n\\begin{tabular}{|c|c|c|}\n\\hline\nAction ID & Suggested Action & GAI Risks \\\\\n\\hline\nGV-1.6-001 & \\begin{tabular}{l}\nEnumerate organizational GAI systems for incorporation into AI system inventory \\\\\nand adjust AI system inventory requirements to account for GAI risks. \\\\\n\\end{tabular} & Information Security \\\\\n\\hline\nGV-1.6-002 & \\begin{tabular}{l}\nDefine any inventory exemptions in organizational policies for GAI systems \\\\\nembedded into application software. \\\\\n\\end{tabular} & \\begin{tabular}{l}\nValue Chain and Component \\\\\nIntegration \\\\\n\\end{tabular} \\\\\n\\hline\nGV-1.6-003 & \\begin{tabular}{l}\nIn addition to general model, governance, and risk information, consider the \\\\\nfollowing items in GAI system inventory entries: Data provenance information \\\\\n(e.g., source, signatures, versioning, watermarks); Known issues reported from \\\\\ninternal bug tracking or external information sharing resources (e.g., Al incident \\\\\ndatabase, AVID, CVE, NVD, or OECD AI incident monitor); Human oversight roles \\\\\nand responsibilities; Special rights and considerations for intellectual property, \\\\\nlicensed works, or personal, privileged, proprietary or sensitive data; Underlying \\\\\nfoundation models, versions of underlying models, and access modes. \\\\\n\\end{tabular} & \\begin{tabular}{l}\nData Privacy; Human-AI \\\\\nConfiguration; Information \\\\\nIntegrity; Intellectual Property; \\\\\nValue Chain and Component \\\\\nIntegration \\\\\n\\end{tabular} \\\\\n\\hline\n\\multicolumn{3}{|l|}{AI Actor Tasks: Governance and Oversight} \\\\\n\\hline\n\\end{tabular}\n\\end{center}\n\nGOVERN 1.7: Processes and procedures are in place for decommissioning and phasing out Al systems safely and in a manner that does not increase risks or decrease the organization's trustworthiness.""]",Mechanisms are in place to inventory AI systems and are resourced according to organizational risk priorities.,simple,[{'source': 'data/nist_ai.tex'}],True
3,What are the risks associated with integrating GAI into applications involving consequential decision making?,"[""Risks from confabulations may arise when users believe false content - often due to the confident nature of the response - leading users to act upon or promote the false information. This poses a challenge for many real-world applications, such as in healthcare, where a confabulated summary of patient information reports could cause doctors to make incorrect diagnoses and/or recommend the wrong treatments. Risks of confabulated content may be especially important to monitor when integrating GAI into applications involving consequential decision making.\n\nGAI outputs may also include confabulated logic or citations that purport to justify or explain the system's answer, which may further mislead humans into inappropriately trusting the system's output. For instance, LLMs sometimes provide logical steps for how they arrived at an answer even when the answer itself is incorrect. Similarly, an LLM could falsely assert that it is human or has human traits, potentially deceiving humans into believing they are speaking with another human.\n\nThe extent to which humans can be deceived by LLMs, the mechanisms by which this may occur, and the potential risks from adversarial prompting of such behavior are emerging areas of study. Given the wide range of downstream impacts of GAI, it is difficult to estimate the downstream scale and impact of confabulations.\n\nTrustworthy AI Characteristics: Fair with Harmful Bias Managed, Safe, Valid and Reliable, Explainable and Interpretable\n\\subsection*{2.3. Dangerous, Violent, or Hateful Content}\nGAI systems can produce content that is inciting, radicalizing, or threatening, or that glorifies violence, with greater ease and scale than other technologies. LLMs have been reported to generate dangerous or violent recommendations, and some models have generated actionable instructions for dangerous or""]","Risks from confabulations may arise when users believe false content, leading users to act upon or promote the false information. This poses a challenge for many real-world applications, such as in healthcare, where a confabulated summary of patient information reports could cause doctors to make incorrect diagnoses and/or recommend the wrong treatments. Risks of confabulated content may be especially important to monitor when integrating GAI into applications involving consequential decision making.",simple,[{'source': 'data/nist_ai.tex'}],True
4,What actions are suggested to address data privacy risks in AI-generated content?,"['Security; Harmful Bias and \\\\\nHomogenization; Dangerous, \\\\\nViolent, or Hateful Content; Data \\\\\nPrivacy \\\\\n\\end{tabular} \\\\\n\\hline\nMP-4.1-006 & \\begin{tabular}{l}\nImplement policies and practices defining how third-party intellectual property and \\\\\ntraining data will be used, stored, and protected. \\\\\n\\end{tabular} & \\begin{tabular}{l}\nIntellectual Property; Value Chain \\\\\nand Component Integration \\\\\n\\end{tabular} \\\\\n\\hline\nMP-4.1-007 & \\begin{tabular}{l}\nRe-evaluate models that were fine-tuned or enhanced on top of third-party \\\\\nmodels. \\\\\n\\end{tabular} & \\begin{tabular}{l}\nValue Chain and Component \\\\\nIntegration \\\\\n\\end{tabular} \\\\\n\\hline\nMP-4.1-008 & \\begin{tabular}{l}\nRe-evaluate risks when adapting GAI models to new domains. Additionally, \\\\\nestablish warning systems to determine if a GAI system is being used in a new \\\\\ndomain where previous assumptions (relating to context of use or mapped risks \\\\\nsuch as security, and safety) may no longer hold. \\\\\n\\end{tabular} & \\begin{tabular}{l}\nCBRN Information or Capabilities; \\\\\nIntellectual Property; Harmful Bias \\\\\nand Homogenization; Dangerous, \\\\\nViolent, or Hateful Content; Data \\\\\nPrivacy \\\\\n\\end{tabular} \\\\\n\\hline\nMP-4.1-009 & \\begin{tabular}{l}\nLeverage approaches to detect the presence of PII or sensitive data in generated \\\\\noutput text, image, video, or audio. \\\\\n\\end{tabular} & Data Privacy \\\\\n\\hline\n\\end{tabular}\n\\end{center}', '\\begin{center}\n\\begin{tabular}{|c|c|c|}\n\\hline\nAction ID & Suggested Action & GAI Risks \\\\\n\\hline\nMP-4.1-001 & \\begin{tabular}{l}\nConduct periodic monitoring of AI-generated content for privacy risks; address any \\\\\npossible instances of PII or sensitive data exposure. \\\\\n\\end{tabular} & Data Privacy \\\\\n\\hline\nMP-4.1-002 & \\begin{tabular}{l}\nImplement processes for responding to potential intellectual property infringement \\\\\nclaims or other rights. \\\\\n\\end{tabular} & Intellectual Property \\\\\n\\hline\nMP-4.1-003 & \\begin{tabular}{l}\nConnect new GAI policies, procedures, and processes to existing model, data, \\\\\nsoftware development, and IT governance and to legal, compliance, and risk \\\\\nmanagement activities. \\\\\n\\end{tabular} & Information Security; Data Privacy \\\\\n\\hline\nMP-4.1-004 & \\begin{tabular}{l}\nDocument training data curation policies, to the extent possible and according to \\\\\napplicable laws and policies. \\\\\n\\end{tabular} & \\begin{tabular}{l}\nIntellectual Property; Data Privacy; \\\\\nObscene, Degrading, and/or \\\\\nAbusive Content \\\\\n\\end{tabular} \\\\\n\\hline\nMP-4.1-005 & \\begin{tabular}{l}\nEstablish policies for collection, retention, and minimum quality of data, in \\\\\nconsideration of the following risks: Disclosure of inappropriate CBRN information; \\\\\nUse of Illegal or dangerous content; Offensive cyber capabilities; Training data \\\\\nimbalances that could give rise to harmful biases; Leak of personally identifiable \\\\\ninformation, including facial likenesses of individuals. \\\\\n\\end{tabular} & \\begin{tabular}{l}\nCBRN Information or Capabilities; \\\\\nIntellectual Property; Information \\\\\nSecurity; Harmful Bias and \\\\\nHomogenization; Dangerous, \\\\\nViolent, or Hateful Content; Data \\\\\nPrivacy \\\\\n\\end{tabular} \\\\\n\\hline\nMP-4.1-006 & \\begin{tabular}{l}\nImplement policies and practices defining how third-party intellectual property and \\\\\ntraining data will be used, stored, and protected. \\\\\n\\end{tabular} & \\begin{tabular}{l}\nIntellectual Property; Value Chain \\\\']","Conduct periodic monitoring of AI-generated content for privacy risks; address any possible instances of PII or sensitive data exposure. Leverage approaches to detect the presence of PII or sensitive data in generated output text, image, video, or audio.",simple,"[{'source': 'data/nist_ai.tex'}, {'source': 'data/nist_ai.tex'}]",True
5,What is the purpose of evaluating feedback loops between GAI system content provenance and human reviewers?,"['MANAGE 2.2: Mechanisms are in place and applied to sustain the value of deployed Al systems.\n\n\\begin{center}\n\\begin{tabular}{|l|l|l|}\n\\hline\nAction ID & Suggested Action & GAI Risks \\\\\n\\hline\nMG-2.2-001 & \\begin{tabular}{l}\nCompare GAI system outputs against pre-defined organization risk tolerance, \\\\\nguidelines, and principles, and review and test Al-generated content against \\\\\nthese guidelines. \\\\\n\\end{tabular} & \\begin{tabular}{l}\nCBRN Information or Capabilities; \\\\\nObscene, Degrading, and/or \\\\\nAbusive Content; Harmful Bias and \\\\\nHomogenization; Dangerous, \\\\\nViolent, or Hateful Content \\\\\n\\end{tabular} \\\\\n\\hline\nMG-2.2-002 & \\begin{tabular}{l}\nDocument training data sources to trace the origin and provenance of AI- \\\\\ngenerated content. \\\\\n\\end{tabular} & \\begin{tabular}{l}\nInformation Integrity \\\\\n\\end{tabular} \\\\\n\\hline\nMG-2.2-003 & \\begin{tabular}{l}\nEvaluate feedback loops between GAI system content provenance and human \\\\\nreviewers, and update where needed. Implement real-time monitoring systems \\\\\nto affirm that content provenance protocols remain effective. \\\\\n\\end{tabular} & Information Integrity \\\\\n\\hline\nMG-2.2-004 & \\begin{tabular}{l}\nEvaluate GAI content and data for representational biases and employ \\\\\ntechniques such as re-sampling, re-ranking, or adversarial training to mitigate \\\\\nbiases in the generated content. \\\\\n\\end{tabular} & \\begin{tabular}{l}\nInformation Security; Harmful Bias \\\\\nand Homogenization \\\\\n\\end{tabular} \\\\\n\\hline\n & \\begin{tabular}{l}\nEngage in due diligence to analyze GAI output for harmful content, potential \\\\\nmisinformation, and CBRN-related or NCII content. \\\\\n\\end{tabular} & \\begin{tabular}{l}\nCBRN Information or Capabilities; \\\\\nObscene, Degrading, and/or \\\\\nAbusive Content; Harmful Bias and \\\\\nHomogenization; Dangerous, \\\\\nViolent, or Hateful Content \\\\\n\\end{tabular} \\\\\n\\hline\n\\end{tabular}\n\\end{center}']",The purpose of evaluating feedback loops between GAI system content provenance and human reviewers is to update where needed and implement real-time monitoring systems to affirm that content provenance protocols remain effective.,simple,[{'source': 'data/nist_ai.tex'}],True
6,How might organizational governance need to be adjusted for generative AI systems?,"[""Acknowledgments: These considerations could not have been surfaced without the helpful analysis and contributions from the community and NIST staff GAI PWG leads: George Awad, Luca Belli, Harold Booth, Mat Heyman, Yooyoung Lee, Mark Pryzbocki, Reva Schwartz, Martin Stanley, and Kyra Yee.\n\\section*{A.1. Governance}\n\\section*{A.1.1. Overview}\nLike any other technology system, governance principles and techniques can be used to manage risks related to generative AI models, capabilities, and applications. Organizations may choose to apply their existing risk tiering to GAI systems, or they may opt to revise or update Al system risk levels to address these unique GAI risks. This section describes how organizational governance regimes may be reevaluated and adjusted for GAI contexts. It also addresses third-party considerations for governing across the Al value chain.\n\\section*{A.1.2. Organizational Governance}\nGAI opportunities, risks and long-term performance characteristics are typically less well-understood than non-generative Al tools and may be perceived and acted upon by humans in ways that vary greatly. Accordingly, GAI may call for different levels of oversight from AI Actors or different human-AI configurations in order to manage their risks effectively. Organizations' use of GAl systems may also warrant additional human review, tracking and documentation, and greater management oversight.\n\nAl technology can produce varied outputs in multiple modalities and present many classes of user interfaces. This leads to a broader set of AI Actors interacting with GAI systems for widely differing applications and contexts of use. These can include data labeling and preparation, development of GAI models, content moderation, code generation and review, text generation and editing, image and video generation, summarization, search, and chat. These activities can take place within organizational settings or in the public domain.""]","Organizational governance regimes may need to be reevaluated and adjusted for GAI contexts. This includes applying existing risk tiering to GAI systems or revising AI system risk levels to address unique GAI risks. It also involves different levels of oversight from AI Actors or different human-AI configurations, additional human review, tracking and documentation, and greater management oversight.",simple,[{'source': 'data/nist_ai.tex'}],True
7,What measures should be implemented to prevent or flag outputs that reproduce particular training data?,"['\\end{tabular} & \\begin{tabular}{l}\nValue Chain and Component \\\\\nIntegration \\\\\n\\end{tabular} \\\\\n\\hline\nMG-3.1-004 & \\begin{tabular}{l}\nTake reasonable measures to review training data for CBRN information, and \\\\\nintellectual property, and where appropriate, remove it. Implement reasonable \\\\\nmeasures to prevent, flag, or take other action in response to outputs that \\\\\nreproduce particular training data (e.g., plagiarized, trademarked, patented, \\\\\nlicensed content or trade secret material). \\\\\n\\end{tabular} & \\begin{tabular}{l}\nIntellectual Property; CBRN \\\\\nInformation or Capabilities \\\\\n\\end{tabular} \\\\\n\\hline\n\\end{tabular}\n\\end{center}']","Reasonable measures should be implemented to prevent, flag, or take other action in response to outputs that reproduce particular training data, such as plagiarized, trademarked, patented, licensed content, or trade secret material.",simple,[{'source': 'data/nist_ai.tex'}],True
8,What are the primary information security risks associated with GAI-based systems?,"['Trustworthy AI Characteristics: Accountable and Transparent, Safe, Valid and Reliable, Interpretable and Explainable\n\\subsection*{2.9. Information Security}\nInformation security for computer systems and data is a mature field with widely accepted and standardized practices for offensive and defensive cyber capabilities. GAI-based systems present two primary information security risks: GAI could potentially discover or enable new cybersecurity risks by lowering the barriers for or easing automated exercise of offensive capabilities; simultaneously, it expands the available attack surface, as GAI itself is vulnerable to attacks like prompt injection or data poisoning.\n\nOffensive cyber capabilities advanced by GAI systems may augment cybersecurity attacks such as hacking, malware, and phishing. Reports have indicated that LLMs are already able to discover some vulnerabilities in systems (hardware, software, data) and write code to exploit them. Sophisticated threat actors might further these risks by developing GAI-powered security co-pilots for use in several parts of the attack chain, including informing attackers on how to proactively evade threat detection and escalate privileges after gaining system access.\n\nInformation security for GAI models and systems also includes maintaining availability of the GAI system and the integrity and (when applicable) the confidentiality of the GAI code, training data, and model weights. To identify and secure potential attack points in Al systems or specific components of the AI\\\\\n${ }^{12}$ See also \\href{https://doi.org/10.6028/NIST.AI.100-4}{https://doi.org/10.6028/NIST.AI.100-4}, to be published.\\\\\nvalue chain (e.g., data inputs, processing, GAI training, or deployment environments), conventional cybersecurity practices may need to adapt or evolve.']","GAI-based systems present two primary information security risks: they could potentially discover or enable new cybersecurity risks by lowering the barriers for or easing automated exercise of offensive capabilities; simultaneously, they expand the available attack surface, as GAI itself is vulnerable to attacks like prompt injection or data poisoning.",simple,[{'source': 'data/nist_ai.tex'}],True
9,What is confabulation in the context of GAI systems?,"['While some of these described capabilities lie beyond the reach of existing GAI tools, ongoing assessments of this risk would be enhanced by monitoring both the ability of AI tools to facilitate CBRN weapons planning and GAI systems\' connection or access to relevant data and tools.\n\nTrustworthy AI Characteristic: Safe, Explainable and Interpretable\n\\subsection*{2.2. Confabulation}\n""Confabulation"" refers to a phenomenon in which GAI systems generate and confidently present erroneous or false content in response to prompts. Confabulations also include generated outputs that diverge from the prompts or other input or that contradict previously generated statements in the same context. These phenomena are colloquially also referred to as ""hallucinations"" or ""fabrications.""\n\nConfabulations can occur across GAI outputs and contexts. ${ }^{9,10}$ Confabulations are a natural result of the way generative models are designed: they generate outputs that approximate the statistical distribution of their training data; for example, LLMs predict the next token or word in a sentence or phrase. While such statistical prediction can produce factually accurate and consistent outputs, it can also produce outputs that are factually inaccurate or internally inconsistent. This dynamic is particularly relevant when it comes to open-ended prompts for long-form responses and in domains which require highly contextual and/or domain expertise.']","""Confabulation"" refers to a phenomenon in which GAI systems generate and confidently present erroneous or false content in response to prompts. Confabulations also include generated outputs that diverge from the prompts or other input or that contradict previously generated statements in the same context. These phenomena are colloquially also referred to as ""hallucinations"" or ""fabrications.""",simple,[{'source': 'data/nist_ai.tex'}],True
